Nr,Buch,Ordner,Kapitel,Größe (Bytes),Länge (Seconds),Länge (min),Länge (hours),kByte/min
1,1. Mose,,,,,0,0,#DIV/0!
2,2. Mose,,,,,0,0,#DIV/0!
3,3. Mose,,,,,0,0,#DIV/0!
4,4. Mose,,,,,0,0,#DIV/0!
5,5. Mose,,,,,0,0,#DIV/0!
6,Josua,06_Jos,24,61015512,7508,125,2.09,476
7,Richter,07_Jg,21,57288496,7056,118,1.96,476
8,Ruth,08_Ru,4,7965769,977,16,0.27,478
9,1. Samuel,09_1Sa,31,83860327,10325,172,2.87,476
10,2. Samuel,10_2Sa,24,66047929,8133,136,2.26,476
11,1. Könige,11_1Ki,22,74586805,9209,153,2.56,475
12,2. Könige,12_2Ki,25,77478196,9555,159,2.65,475
13,1. Chronika,13_1Ch,29,77192079,9497,158,2.64,476
14,2. Chronika,14_2Ch,36,79642409,9768,163,2.71,478
15,Esra,15_Ezr,10,23938467,2944,49,0.82,477
16,Nehemia,16_Ne,12,34021727,4192,70,1.16,476
17,Esther,17_Es,10,19394149,2375,40,0.66,478
18,Hiob,18_Job,42,75633171,9250,154,2.57,479
19,Psalmen,19_Ps,150,180608438,21815,364,6.06,485
20,Sprüche,20_Pr,31,63443671,7773,130,2.16,478
21,Prediger,21_Ec,12,18462766,2248,37,0.62,481
22,Hohes Lied,22_Ca,8,9620271,1162,19,0.32,485
23,Jesaja,,,,,0,0,#DIV/0!
24,Jeremia,,,,,0,0,#DIV/0!
25,Klagelieder,25_La,5,12245372,1505,25,0.42,477
26,Hesekiel,26_Eze,48,130934166,16122,269,4.48,476
27,Daniel,27_Da,12,40871428,5048,84,1.4,474
28,Hosea,28_Ho,14,21094421,2569,43,0.71,481
29,Joel,29_Joe,3,7600727,936,16,0.26,476
30,Amos,30_Am,9,13097655,1594,27,0.44,482
31,Obadja,31_Ob,1,2714228,334,6,0.09,476
32,Jona,32_Jon,4,4741755,574,10,0.16,484
33,Micha,33_Mic,7,13406806,1642,27,0.46,478
34,Nahum,34_Na,3,5237751,640,11,0.18,479
35,Habakuk,35_Hab,3,5697354,697,12,0.19,479
36,Zephanja,36_Zep,3,5651215,691,12,0.19,479
37,Haggai,37_Hag,2,4011237,492,8,0.14,478
38,Sacharja,38_Zec,14,23184412,2827,47,0.79,480
39,Maleachi,39_Mal,4,7843562,960,16,0.27,478
40,Matthäus,40_Mt,28,61862172,10130,169,2.81,358
41,Markus,41_Mr,16,38094104,6248,104,1.74,357
42,Lukas,42_Lu,24,84976008,10500,175,2.92,474
43,Johannes,43_Joh,21,64845360,7996,133,2.22,475
44,Apostelgeschichte,44_Ac,28,77651829,9552,159,2.65,476
45,Römer,45_Ro,16,36449584,4476,75,1.24,477
46,1. Korinther,46_1Co,16,35370446,4339,72,1.21,478
47,2. Korinther,47_2Co,13,22785010,2782,46,0.77,480
48,Galater,48_Ga,6,9212665,1498,25,0.42,360
49,Epheser,49_Eph,6,8859242,1439,24,0.4,361
50,Philipper,50_Php,4,8226707,1008,17,0.28,478
51,Kolosser,51_Col,4,5922330,961,16,0.27,361
52,1. Thessalonicher,52_1Th,5,5362995,860,14,0.24,365
53,2. Thessalonicher,53_2Th,3,3116239,499,8,0.14,366
54,1. Timotheus,54_1Ti,6,7494326,1211,20,0.34,363
55,2. Timotheus,55_2Ti,4,5203246,841,14,0.23,362
56,Titus,56_Tit,3,3023994,486,8,0.13,365
57,Philemon,57_Phm,1,1250463,202,3,0.06,362
58,Hebräer,58_Heb,13,26061971,3192,53,0.89,478
59,Jakobus,59_Jas,5,6323730,1022,17,0.28,362
60,1. Petrus,60_1Pe,5,7538716,1225,20,0.34,361
61,2. Petrus,61_2Pe,3,4828929,786,13,0.22,360
62,1. Johannes,62_1Jo,5,7413751,1203,20,0.33,361
63,2. Johannes,63_2Jo,1,917008,146,2,0.04,367
64,3. Johannes,64_3Jo,1,1326454,161,3,0.04,483
65,Judas,65_Jude,1,2040853,334,6,0.09,358
66,Offenbarung,66_Re,22,43927079,5376,90,1.49,479
99,Summe,bible_de,883,1888617482,238895,3982,66.36,463
