Folder,Files,Size,Size (Bytes),Length (Seconds)
06_Jos,24,58.19 MB,61015512,7508.136
07_Jg,21,54.63 MB,57288496,7055.688000000002
08_Ru,4,7.60 MB,7965769,976.6240000000001
09_1Sa,31,79.98 MB,83860327,10325.055999999997
10_2Sa,24,62.99 MB,66047929,8133.096000000002
11_1Ki,22,71.13 MB,74586805,9209.391999999998
12_2Ki,25,73.89 MB,77478196,9554.704
13_1Ch,29,73.62 MB,77192079,9496.815999999999
14_2Ch,36,75.95 MB,79642409,9768.36
15_Ezr,10,22.83 MB,23938467,2943.616
16_Ne,12,32.45 MB,34021727,4192.224
17_Es,10,18.50 MB,19394149,2375.464
18_Job,42,72.13 MB,75633171,9249.599999999999
19_Ps,150,172.24 MB,180608438,21814.992000000002
20_Pr,31,60.50 MB,63443671,7773.088000000001
21_Ec,12,17.61 MB,18462766,2248.2479999999996
22_Ca,8,9.17 MB,9620271,1161.984
25_La,5,11.68 MB,12245372,1504.848
26_Eze,48,124.87 MB,130934166,16121.567999999997
27_Da,12,38.98 MB,40871428,5047.999999999999
28_Ho,14,20.12 MB,21094421,2569.032
29_Joe,3,7.25 MB,7600727,935.6400000000001
30_Am,9,12.49 MB,13097655,1593.7920000000001
31_Ob,1,2.59 MB,2714228,334.36
32_Jon,4,4.52 MB,4741755,573.792
33_Mic,7,12.79 MB,13406806,1641.7839999999999
34_Na,3,5.00 MB,5237751,640.176
35_Hab,3,5.43 MB,5697354,697.104
36_Zep,3,5.39 MB,5651215,691.384
37_Hag,2,3.83 MB,4011237,491.52
38_Zec,14,22.11 MB,23184412,2827.3680000000004
39_Mal,4,7.48 MB,7843562,960.48
40_Mt,28,59.00 MB,61862172,10130.061333333331
41_Mr,16,36.33 MB,38094104,6248.333333333333
42_Lu,24,81.04 MB,84976008,10499.591999999997
43_Joh,21,61.84 MB,64845360,7996.344
44_Ac,28,74.05 MB,77651829,9551.679999999998
45_Ro,16,34.76 MB,36449584,4476.4
46_1Co,16,33.73 MB,35370446,4339.192000000001
47_2Co,13,21.73 MB,22785010,2781.592
48_Ga,6,8.79 MB,9212665,1497.968
49_Eph,6,8.45 MB,8859242,1439.192
50_Php,4,7.85 MB,8226707,1008.424
51_Col,4,5.65 MB,5922330,961.4533333333333
52_1Th,5,5.11 MB,5362995,860.1706666666666
53_2Th,3,2.97 MB,3116239,499.168
54_1Ti,6,7.15 MB,7494326,1210.712
55_2Ti,4,4.96 MB,5203246,841.4533333333334
56_Tit,3,2.88 MB,3023994,485.84799999999996
57_Phm,1,1.19 MB,1250463,202.22133333333332
58_Heb,13,24.85 MB,26061971,3192.424
59_Jas,5,6.03 MB,6323730,1022.3866666666667
60_1Pe,5,7.19 MB,7538716,1225.2826666666667
61_2Pe,3,4.61 MB,4828929,785.968
62_1Jo,5,7.07 MB,7413751,1203.4666666666667
63_2Jo,1,895.52 KB,917008,146.49333333333334
64_3Jo,1,1.27 MB,1326454,160.888
65_Jude,1,1.95 MB,2040853,334.12533333333334
66_Re,22,41.89 MB,43927079,5375.920000000001
